"Codigo","Descricao","Dimensao","TemDim"
"S154373","REFRIG. HORIZ. 6GAV. CAB. DIR. INOX 430 AL - 2000X700X900MM","2000X700X900","True"
"S154377","REFRIGERADOR HORIZONTAL 6GAV. CAB. ESQ. INOXIDÁVELAL - 2000X700X900MM","2000X700X900","True"
"S154380","MEAT FREEZER INOX 304 450X730X900 MM","450X730X900","True"
"S154384","FREEZER VERT. 4 PORTA BI-P. INOXIDÁVEL-1400X800X2050MM","1400X800X2050","True"
"S154395","REFRIG HORIZ 4GAV. CAB. DIR. INOX_INOX 430- 1500X700X900MM","1500X700X900","True"
"S154403","MEAT FREEZER INOXINOX 430 - 450X730X900 MM","450X730X900","True"
"S154409","REFRIGERADOR BASE COCÇÃO 1 GAV. INOXIDAVEL_AL-1250X700X580MM","1250X700X580","True"
"S154410","REFRIGERADOR BASE COCÇÃO 1 GAV. INOXIDAVEL INT_EXT-1250X700X580MM","1250X700X580","True"
"S154415","REF. HOR. BASE 1 P. CAB. ESQ. E CAB. REF-5 GN'S-C T. AQUEC. 1600MM C ROD","","False"
"S154427","TAMPO ENCOSTO LISA #201 PERFURAÇÃO PARA CABEÇOTE 1500","","False"
"S154434","REFRIG. BASE COCÇÃO 4 GAV, CAB. DIR. INOXAL 430 - 1440x700x660mm","1440x700x660","True"
"S154435","FREEZER VERT 2 PORTAS INT. INOX_AL 430 - 700x800xX2050mm","700x800","True"
"S154436","CERVEJEIRA VERT 1 PORTA VIDRO -4°C A 5°C - INOXIDAVEL_AL-700X800X2050MM","700X800X2050","True"
"S154440","FREEZER VERT. 4 PORTA BI-P. INOX_AL 430 - 1400x800x2050mm","1400x800x2050","True"
"S154441","FREEZER VERT. 2 PORTAS VIDRO INT. INOX 1400X800X2050 MM","1400X800X2050","True"
"S154442","CERVEJEIRA VERTICAL 2 PORTA VIDRO -4°C A 5°C - INOXIDAVEL-AL 1400X800X2050 MM","1400X800X2050","True"
