folderPath,fileCount,totalMB,relevanceScore
D:\2022\REDES\SUBWAY\PRATELEIRAS\S170015 - PRATELEIRA SUP LISA L PRO-INOX-304 - 1400X350X40MM\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\ARMARIOS\SW-GP16 - ARMÁRIO VERTICAL PÃES 16 PLANOS\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\ARMARIOS\S170026 - COMBIRACK ALUMINIO 727X531X1810MM\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\ARMARIOS\S170016 - ARMÁRIO VERTICAL RETARDER - 20 PLANOS\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\ARMARIOS\S170008 - ARMÁRIO VERTICAL PÃES 16 PLANOS\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\ARMARIOS\S170041-ARMARIO VERT PAES 16 PL ALUM 729X532X1810MM - anti-horário,1,0.02,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\SWMPC - MÓDULO PORTA COPOS\PROJETO,1,0.03,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\SW-MGN - GABINETE NEUTRO\S170042 - 900,1,0.02,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\SW-MGN - GABINETE NEUTRO\S170031 - GABINETE NEUTRO INOX COM PRATELEIRA 880x400x900MM,1,0.03,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\SW-CP12D - COLD PAN DELIVERY\PROJETO,1,0.03,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\S170055 MODULO POST MIX 800X780X850\PROJETO,1,0.03,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\S170022 - DISPLAY DE PÃO INOX 748X600X1535MM\PROJETO 2023,1,0.02,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\S170022 - DISPLAY DE PÃO INOX 748X600X1535MM\PROJETO,1,0.03,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\S170003 - GABINETE NEUTRO ACESSIBILIDADE\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\S170000 - HOT FOOD 03 GN'S-150 INOX 870X419X1407 MM\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\LINHA FRONTAL\SW-CP18 - COLD PAN 18 GN's\PROJETO 2023,1,0.03,8
D:\2022\REDES\ATACADÃO\EXAUSTÃO\COIFAS\S207106 - COIFA DE ENCOSTO SILUMINAÇÃO-INOX-304 -2300X1700X450 MM\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\EXAUSTÃO\DUTOS\S207088 - DUTO RETANGULAR - 490X380X1125 MM\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\EXAUSTÃO\DUTOS\S207089 - TRANSFORMADOR DE - 490X380MM P Ø 500 MM\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\EXAUSTÃO\DUTOS\S207086 - CURVA 90 P DUTO - 550X490X460 MM\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\S207269 - BANCADA L PRO C01 CBE-304 60X50X50- E 550 -1900X700X900 MM C PRAT. LISA E ESP LDE\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\S206710 - MODULO EXPOSITOR AQUEC. 2 GNS 1-1X150 C PROT SAL RETO 800X1060X1370MM C 1 CORRE BAND\PROJETO,1,0.02,8
D:\2022\REDES\ATACADÃO\S206709 - MODULO EXPOSITOR AQUEC. 5 GNS 1-1X150 C PROT SAL RETO 1800X1060X1370MM C 1 CORRE BAND\PROJETO\S206709,1,0.03,8
D:\2022\REDES\ATACADÃO\S206703 - MESA ENC 304 CBD 60X50X40 E 500 ESP LDE PRAT LISA C PLACA DE ALTILENO 60X50X20 1950X700X900\PROJETO\S206703,1,0.02,8
D:\2022\REDES\ATACADÃO\S206702 - MESA ENC 304 CBE 60X50X40 E 450 ESP LDE PRAT LISA 1950X700X900\PROJETO\S206702,1,0.02,8
D:\2022\REDES\ATACADÃO\S206701 - MESA ENC 304 CBE 70X60X50 E 500 ESP TRAS LDE PRAT LISA\PROJETO\S206701,1,0.02,8
